metric,arm3_minus_arm2,sd,n_arm3_higher,n,t
ecapa_ref,0.1737,0.0876,20,20,8.87
ecapa_first,-0.2968,0.1157,0,20,-11.47
wavlm_ref,0.112,0.0983,19,20,5.09
wavlm_first,-0.1975,0.1611,0,20,-5.48
emo_z,-0.1227,0.2473,5,20,-2.22
emo_raw,-0.0503,0.0947,5,20,-2.38
qual,-0.066,0.0475,3,20,-6.21
speech_q,-0.0132,0.0234,4,20,-2.53
genuineness,0.0312,0.3833,11,20,0.36
spk_spread,0.0236,0.0277,17,20,3.82
seam_jump,0.3338,0.5143,14,20,2.9
interior_jump,0.3393,0.2669,18,20,5.69
seam_excess,-0.0055,0.574,11,20,-0.04
dur_s,-0.0707,0.0362,0,20,-8.72
gap_db,-128.2295,10.1166,0,20,-56.68
gap_below_seg_db,127.9765,10.1339,20,20,56.48
