,arm1,arm2,arm2b,arm3,arm4
ecapa_ref,0.4914,0.4704,0.4743,0.6441,0.4889
ecapa_first,0.7226,0.8433,0.8439,0.5465,0.8313
wavlm_ref,0.7376,0.7466,0.7431,0.8586,0.7578
wavlm_first,0.8249,0.8895,0.892,0.692,0.8873
emo_z,2.1367,1.8706,1.8555,1.7479,1.6951
emo_raw,1.393,1.2636,1.2627,1.2133,1.1888
qual,3.092,3.1399,3.1412,3.0739,3.1421
speech_q,1.9218,1.9337,1.9351,1.9205,1.9234
genuineness,1.2423,1.1187,1.0903,1.1499,1.096
spk_spread,0.3479,0.1508,0.1523,0.1744,0.1335
seam_jump,4.9553,4.7536,4.8167,5.0874,4.7565
interior_jump,3.4221,3.7009,3.7268,4.0402,3.8099
seam_excess,1.5332,1.0526,1.0899,1.0472,0.9466
dur_s,40.4736,40.444,40.444,40.3734,40.346
gap_db,-200.0,-71.7705,-70.807,-200.0,-52.1665
gap_below_seg_db,177.385,49.118,48.077,177.0945,29.514
