,arm1,arm2,arm2b,arm3,arm4
ecapa_ref,0.1271,0.1553,0.1555,0.1399,0.1534
ecapa_first,0.0736,0.0517,0.0534,0.1288,0.0587
wavlm_ref,0.0964,0.1205,0.1278,0.055,0.1126
wavlm_first,0.0808,0.0547,0.0558,0.1822,0.0561
emo_z,0.7364,0.9052,0.7885,0.8028,0.7696
emo_raw,0.4038,0.4771,0.4445,0.4574,0.4237
qual,0.1122,0.0984,0.0951,0.0888,0.0972
speech_q,0.0541,0.05,0.0489,0.0511,0.0524
genuineness,0.8485,0.7353,0.7464,0.6766,0.7117
spk_spread,0.0918,0.0598,0.0605,0.051,0.0468
seam_jump,0.633,0.6493,0.6756,0.7107,0.5589
interior_jump,0.3559,0.3826,0.3948,0.3436,0.4306
seam_excess,0.6461,0.6442,0.7095,0.6837,0.6224
dur_s,12.0436,12.0508,12.0508,12.0227,12.0316
gap_db,0.0,10.1166,11.374,0.0,12.7664
gap_below_seg_db,0.3515,10.0822,11.3042,0.4482,12.7992
