metric,arm,mean_diff,sd,n_better_than_arm1,n,t
ecapa_ref,arm2,-0.021,0.0737,9,20,-1.27
ecapa_ref,arm2b,-0.0171,0.0735,10,20,-1.04
ecapa_ref,arm3,0.1527,0.0444,20,20,15.39
ecapa_ref,arm4,-0.0025,0.0781,11,20,-0.14
ecapa_first,arm2,0.1207,0.0622,20,20,8.68
ecapa_first,arm2b,0.1213,0.0618,20,20,8.78
ecapa_first,arm3,-0.1761,0.0868,0,20,-9.07
ecapa_first,arm4,0.1088,0.0644,20,20,7.55
wavlm_ref,arm2,0.0091,0.0659,13,20,0.62
wavlm_ref,arm2b,0.0055,0.0714,10,20,0.35
wavlm_ref,arm3,0.121,0.077,19,20,7.03
wavlm_ref,arm4,0.0203,0.0672,14,20,1.35
wavlm_first,arm2,0.0646,0.0808,17,20,3.57
wavlm_first,arm2b,0.0671,0.0805,16,20,3.73
wavlm_first,arm3,-0.1329,0.1365,3,20,-4.36
wavlm_first,arm4,0.0624,0.0765,17,20,3.65
emo_z,arm2,-0.2661,0.3254,1,20,-3.66
emo_z,arm2b,-0.2812,0.2196,0,20,-5.73
emo_z,arm3,-0.3889,0.2929,1,20,-5.94
emo_z,arm4,-0.4416,0.3546,1,20,-5.57
emo_raw,arm2,-0.1294,0.1455,1,20,-3.98
emo_raw,arm2b,-0.1303,0.0956,0,20,-6.09
emo_raw,arm3,-0.1797,0.1266,1,20,-6.35
emo_raw,arm4,-0.2042,0.1648,1,20,-5.54
qual,arm2,0.0479,0.0366,19,20,5.85
qual,arm2b,0.0491,0.0367,19,20,5.99
qual,arm3,-0.0181,0.0443,3,20,-1.83
qual,arm4,0.0501,0.046,16,20,4.87
speech_q,arm2,0.0119,0.0167,16,20,3.2
speech_q,arm2b,0.0133,0.0225,15,20,2.65
speech_q,arm3,-0.0013,0.0203,9,20,-0.28
speech_q,arm4,0.0016,0.019,11,20,0.38
genuineness,arm2,-0.1236,0.2477,7,20,-2.23
genuineness,arm2b,-0.152,0.23,5,20,-2.96
genuineness,arm3,-0.0924,0.4269,6,20,-0.97
genuineness,arm4,-0.1463,0.2324,5,20,-2.81
spk_spread,arm2,-0.1972,0.0744,0,20,-11.86
spk_spread,arm2b,-0.1957,0.0731,0,20,-11.98
spk_spread,arm3,-0.1735,0.0735,0,20,-10.56
spk_spread,arm4,-0.2144,0.0801,0,20,-11.97
seam_jump,arm2,-0.2017,0.4098,9,20,-2.2
seam_jump,arm2b,-0.1386,0.4413,9,20,-1.4
seam_jump,arm3,0.1321,0.5799,12,20,1.02
seam_jump,arm4,-0.1988,0.4622,7,20,-1.92
interior_jump,arm2,0.2788,0.2586,17,20,4.82
interior_jump,arm2b,0.3047,0.2716,18,20,5.02
interior_jump,arm3,0.6181,0.2285,20,20,12.1
interior_jump,arm4,0.3877,0.2919,19,20,5.94
seam_excess,arm2,-0.4806,0.3616,2,20,-5.94
seam_excess,arm2b,-0.4433,0.3705,2,20,-5.35
seam_excess,arm3,-0.486,0.6485,5,20,-3.35
seam_excess,arm4,-0.5866,0.4858,2,20,-5.4
dur_s,arm2,-0.0297,0.0143,0,20,-9.26
dur_s,arm2b,-0.0297,0.0143,0,20,-9.26
dur_s,arm3,-0.1003,0.0305,0,20,-14.72
dur_s,arm4,-0.1277,0.0296,0,20,-19.3
gap_db,arm2,128.2295,10.1166,20,20,56.68
gap_db,arm2b,129.193,11.374,20,20,50.8
gap_db,arm3,0.0,0.0,0,20,
gap_db,arm4,147.8335,12.7664,20,20,51.79
gap_below_seg_db,arm2,-128.267,10.1458,0,20,-56.54
gap_below_seg_db,arm2b,-129.308,11.3584,0,20,-50.91
gap_below_seg_db,arm3,-0.2905,0.3004,1,20,-4.32
gap_below_seg_db,arm4,-147.871,12.7371,0,20,-51.92
